id,nome,categoria,tom_pele,marca,preco,descricao,imagem
1,Base Matte Longa Duração,base,clara,Maybelline,49.9,Base matte com alta fixação,https://m.media-amazon.com/images/I/61FwcbVUyFL._AC_SY300_SX300_QL70_ML2_.jpg
2,Batom Líquido Ultra Fixação,batom,media,Bruna Tavares,39.9,Batom líquido matte de longa duração,https://m.media-amazon.com/images/I/41VhaBGmWSL._AC_UL320_.jpg
3,Corretivo Alta Cobertura,corretivo,clara,Quem Disse Berenice,35.0,Corretivo líquido com efeito natural,https://m.media-amazon.com/images/I/51D7BUaQFUL._AC_UL320_.jpg
4,Blush Rosa Glow,blush,todos,Ruby Rose,27.5,Blush compacto com brilho suave,https://cdn.awsli.com.br/800x800/2752/2752602/produto/356156317/653066-0-kwhr0anh4n.jpg
5,Máscara de Cílios Volume Max,mascara,todos,Maybelline,59.9,Máscara preta para volume intenso,https://m.media-amazon.com/images/I/51W3Iop8+OL._AC_SX522_.jpg
6,Pó Compacto Anti-Oleosidade,po,media,Vult,24.9,Pó compacto para controle de brilho,https://m.media-amazon.com/images/I/612PrZLyMuL._AC_UL320_.jpg
7,Iluminador stick shine,iluminador,todos,Vizella,32.0,Iluminador dourado intenso,https://m.media-amazon.com/images/I/41p8LOU8g2L._AC_UL320_.jpg
8,Paleta Sombras Honey Bomb,sombra,todos,Luisance,49.0,Paleta com tons cintilantes,https://m.media-amazon.com/images/I/613RKUL1rwL._AC_UL320_.jpg
9,Gloss Labial Brilho Cristal,gloss,todos,O Boticário,29.9,Gloss hidratante transparente,https://http2.mlstatic.com/D_Q_NP_899521-MLU69502726320_052023-O.webp
10,Primer Facial HD,primer,todos,Ruby Rose,34.9,Primer para minimizar poros,https://m.media-amazon.com/images/I/41ZQI0KbcEL._AC_UL320_.jpg
11,Base Líquida Natural Look,base,media,Vult,42.5,Base de acabamento natural,https://m.media-amazon.com/images/I/51RusYl8P+L._AC_UL320_.jpg
12,Batom Cremoso Nude Chic,batom,todos,Eudora,36.9,Batom cremoso hidratante,https://m.media-amazon.com/images/I/51eMyCx6g5L._AC_UL320_.jpg
